1946_1	1946_1	To the Congress of the United States:  
1946_3	1946_3	At the same time, it is clear that the budgetary program and the general  program of the Government are actually inseparable. The president bears the  responsibility for recommending to the Congress a comprehensive set of  proposals on all Government activities and their financing. In formulating  policies, as in preparing budgetary estimates, the Nation and the Congress  have the right to expect the President to adjust and coordinate the views  of the various departments and agencies to form a unified program. And that  program requires consideration in connection with the Budget, which is the  annual work program of the Government.  
1946_5	1946_5	For these reasons I have chosen to combine the customary Message on the  State of the Union with the annual Budget Message, and to include in the  Budget not only estimates for functions authorized by the Congress, but  also for those which I recommend for its action.  
1946_16	1946_16	"1945 can see the closing in of the forces of retribution about the center  of the malignant power of imperialistic Japan.  
1946_17	1946_17	"Most important of all 1945 can and must see the substantial beginning of  the organization of world peace."  
1946_18	1946_18	All those hopes, and more, were fulfilled in the year 1945. It was the  greatest year of achievement in human history. It saw the end of the  Nazi_Fascist terror in Europe, and also the end of the malignant power of  Japan. And it saw the substantial beginning of world organization for  peace. These momentous events became realities because of the steadfast  purpose of the United Nations and of the forces that fought for freedom  under their flags. The plain fact is that civilization was saved in 1945 by  the United Nations.  
1946_20	1946_20	Everlasting tribute and gratitude will be paid by all Americans to those  brave men who did not come back, who will never come back the 330,000 who  died that the Nation might live and progress. All Americans will also  remain deeply conscious of the obligation owed to that larger number of  soldiers, sailors, and marines who suffered wounds and sickness in their  service. They may be certain that their sacrifice will never be forgotten  or their needs neglected.  
1946_21	1946_21	The beginning of the year 1946 finds the United States strong and  deservedly confident. We have a record of enormous achievements as a  democratic society in solving problems and meeting opportunities as they  developed. We find ourselves possessed of immeasurable advantages vast and  varied natural resources; great plants, institutions, and other facilities;  unsurpassed technological and managerial skills; an alert, resourceful, and  able citizenry. We have in the United States Government rich resources in  information, perspective, and facilities for doing whatever may be found  necessary to do in giving support and form to the widespread and  diversified efforts of all our people.  
1946_22	1946_22	And for the immediate future the business prospects are generally so  favorable that there is danger of such feverish and opportunistic activity  that our grave postwar problems may be neglected. We need to act now with  full regard for pitfalls; we need to act with foresight and balance. We  should not be lulled by the immediate alluring prospects into forgetting  the fundamental complexity of modern affairs, the catastrophe that can come  in this complexity, or the values that can be wrested from it.  
1946_25	1946_25	Our Nation has always been a land of great opportunities for those people  of the world who sought to become part of us. Now we have become a land of  great responsibilities to all the people of all the world. We must squarely  recognize and face the fact of those responsibilities. Advances in science,  in communication, in transportation, have compressed the world into a  community. The economic and political health of each member of the world  community bears directly on the economic and political health of each other  member.  
1946_26	1946_26	The evolution of centuries has brought us to a new era in world history in  which manifold relationships between nations must be formalized and  developed in new and intricate ways.  
1946_28	1946_28	It is important that the nations come together as States in the Assembly  and in the Security Council and in the other specialized assemblies and  councils that have been and will be arranged. But this is not enough. Our  ultimate security requires more than a process of consultation and  compromise.  
1946_30	1946_30	There are many new responsibilities for us as we enter into this new  international era. The whole power and will and wisdom of our Government  and of our people should be focused to contribute to and to influence  international action. It is intricate, continuing business. Many  concessions and adjustments will be required.  
1946_32	1946_32	On the domestic scene, as well as on the international scene, we must lay a  new and better foundation for cooperation. We face a great peacetime  venture; the challenging venture of a free enterprise economy making full  and effective use of its rich resources and technical advances. This is a  venture in which business, agriculture, and labor have vastly greater  opportunities than heretofore. But they all also have vastly greater  responsibilities. We will not measure up to those responsibilities by the  simple return to "normalcy" that was tried after the last war.  
1946_35	1946_35	As we move toward one common objective there will be many and urgent  problems to meet.  
1946_36	1946_36	Industrial peace between management and labor will have to be  achieved through the process of collective bargaining with Government  assistance but not Government compulsion. This is a problem which is the  concern not only of management, labor, and the Government, but also the  concern of every one of us.  
1946_38	1946_38	Labor also has its own new peacetime responsibilities. Under our collective  bargaining system, which must become progressively more secure, labor  attains increasing political as well as economic power, and this, as with  all power, means increased responsibility.  
1946_47	1946_47	Our most immediate task toward that end is to deprive our enemies  completely and forever of their power to start another war. Of even greater  importance to the preservation of international peace is the need to  preserve the wartime agreement of the United Nations and to direct it into  the ways of peace.  
1946_53	1946_53	It is encouraging to know that the common effort of the United Nations to  learn to live together did not cease with the surrender of our enemies.  
1946_54	1946_54	When difficulties arise among us, the United States does not propose to  remove them by sacrificing its ideals or its vital interests. Neither do we  propose, however, to ignore the ideals and vital interests of our friends.  
1946_56	1946_56	The first meeting of the General Assembly of the United Nations now in  progress in London marks the real beginning of our bold adventure toward  the preservation of world peace, to which is bound the dearest hope of  men.  
1946_72	1946_72	7. We believe that all nations should have the freedom of the seas and  equal rights to the navigation of boundary rivers and waterways and of  rivers and waterways which pass through more than one country.  
1946_73	1946_73	8. We believe that all states which are accepted in the society of nations  should have access on equal terms to the trade and the raw materials of the  world.  
1946_81	1946_81	On the other side of the world, a method of international cooperation has  recently been agreed upon for the treatment of Japan. In this pattern of  control, the United States, with the full approval of its partners, has  retained primary authority and primary responsibility. It will continue to  do so until the Japanese people, by their own freely expressed choice,  choose their own form of government.  
1946_83	1946_83	At Moscow the United States, the Union of Soviet Socialist Republics, and  Great Britain agreed to further this development by supporting the efforts  of the national government and nongovernmental Chinese political elements  in bringing about cessation of civil strife and in broadening the basis of  representation in the Government. That is the policy which General Marshall  is so ably executing today.  
1946_94	1946_94	In accordance with the intentions of the Congress, lend_lease, except as to  continuing military lend_lease in China, was terminated upon the surrender  of Japan. The first of the lend_lease settlement agreements has been  completed with the United Kingdom. Negotiations with other lend_lease  countries are in progress. In negotiating these agreements, we intend to  seek settlements which will not encumber world trade through war debts of a  character that proved to be so detrimental to the stability of the world  economy after the last war.  
1946_97	1946_97	The view of this Government is that, in the longer run, our economic  prosperity and the prosperity of the whole world are best served by the  elimination of artificial barriers to international trade, whether in the  form of unreasonable tariffs or tariff preferences or commercial quotas or  embargoes or the restrictive practices of cartels.  
1946_101	1946_101	3. OCCUPIED COUNTRIES  
1946_102	1946_102	The major tasks of our Military Establishment in Europe following VE_day,  and in the Pacific since the surrender of Japan, have been those of  occupation and military government. In addition we have given much needed  aid to the peoples of the liberated countries.  
1946_105	1946_105	Improvements in the European economy during 1945 have made it possible for  our military authorities to relinquish to the governments of all liberated  areas, or to the United Nations Relief and Rehabilitation Administration,  the responsibility for the provision of food and other civilian relief  supplies. The Army's responsibilities in Europe extend now only to our  zones of occupation in Germany and Austria and to two small areas in  northern Italy.  
1946_108	1946_108	For the first time in history the legal culpability of war makers is being  determined. The trials now in progress in Nurnberg_and those soon to begin  in Tokyo bring before the bar of international justice those individuals  who are charged with the responsibility for the sufferings of the past six  years. We have high hope that this public portrayal of the guilt of these  evildoers will bring wholesale and permanent revulsion on the part of the  masses of our former enemies against war, militarism, aggression, and  notions of race superiority.  
1946_109	1946_109	4. DEMOBILIZATION OF OUR ARMED FORCES  
1946_120	1946_120	The War and Navy Departments now estimate that by a year from now we still  will need a strength of about 2 million including officers, for the armed  forces Army, Navy, and Air. I have reviewed their estimates and believe  that the safety of the Nation will require the maintenance of an armed  strength of this size for the calendar year that is before us.  
1946_123	1946_123	I. THE ECONOMIC OUTLOOK  
1946_125	1946_125	We know, however, that nothing is as dangerous as overconfidence, in war or  in peace. We have had to fight hard to hold the line. We have made  strenuous efforts to speed reconversion. But neither the danger of a  postwar inflation nor of a subsequent collapse in production and employment  is yet overcome. We must base our policies not on unreasoning optimism or  pessimism but upon a candid recognition of our objectives and upon a  careful analysis of foreseeable trends.  
1946_127	1946_127	Civilian production and employment can be expected to increase throughout  the next year. This does not mean, however, that continuing full employment  is assured. It is probable that demobilization of the armed forces will  proceed faster than the increase in civilian employment opportunities. Even  if substantial further withdrawals from the labor market occur,  unemployment will increase temporarily. The extent to which this  unemployment will persist depends largely on the speed of industrial  expansion and the effectiveness of the policies of the Federal Government.  
1946_135	1946_135	While we are meeting these immediate needs we must look forward to a  long_range program of security and increased standard of living.  
1946_140	1946_140	Management has a no less direct interest because on management rests the  responsibility for conducting a growing and prosperous business.  
1946_146	1946_146	Labor and management in many industries have been operating successfully  under the Government's wage_price policy. Upward revisions of wage scales  have been made in thousands of establishments throughout the Nation since  VJ_day. It is estimated that about 6 million workers, or more than 20  percent of all employees in nonagricultural and nongovernmental  establishments, have received wage increases since August 18, 1945. The  amounts of increases given by individual employers concentrate between 10  and 15 percent, but range from less than 5 percent to over 30 percent.  
1946_147	1946_147	The United States Conciliation Service since VJ_day has settled over 3,000  disputes affecting over 1,300,000 workers without a strike threat and has  assisted in settling about 1,300 disputes where strikes were threatened  which involved about 500,000 workers. Only workers directly involved, and  not those in related industries who might have been indirectly affected,  are included in these estimates.  
1946_153	1946_153	We are relying on all concerned to develop, through collective bargaining,  wage structures that are fair to labor, allow for necessary business  incentives, and conform with a policy designed to "hold the line" on  prices.  
1946_158	1946_158	There is no question in my mind that the Government, acting on behalf of  all the people, must assume the ultimate responsibility for the economic  health of the Nation. There is no other agency that can. No other  organization has the scope or the authority, nor is any other agency  accountable, to all the people. This does not mean that the Government has  the sole responsibility, nor that it can do the job alone, nor that it can  do the job directly.  
1946_161	1946_161	In short, the way we handle the proper functions of government, the way we  time the exercise of our traditional and legitimate governmental functions,  has a vital bearing on the economic health of the Nation.  
1946_167	1946_167	(1) Legislation to authorize the President to create fact_finding boards  for the prevention of stoppages of work in Nationwide industries after  collective bargaining and conciliation and voluntary arbitration have  failed as recommended by me on December 3, 1945.  
1946_170	1946_170	(4) Adoption of a permanent Fair Employment Practice Act as recommended by  me on September 6, 1945.  
1946_171	1946_171	(5) Legislation substantially raising the amount of minimum wages now  provided by law as recommended by me on September 6, 1945.  
1946_173	1946_173	(7) Legislation enacting a health and medical care program as recommended  by me on November 19, 1945.  
1946_174	1946_174	(8) Legislation adopting the program of universal training as recommended  by me on October 23, 1945.  
1946_178	1946_178	(12) Legislation for the domestic use and control of atomic energy as  recommended by me on October 3, 1945.  
1946_187	1946_187	(21) Legislation for the development of the Great Lakes_St. Lawrence River  Basin_as recommended by me on October 3, 1945.  
1946_198	1946_198	I am particularly disturbed at the effect such thinking may have on  production and employment. If manufacturers continue to hold back goods and  decline to submit bids when invited as I am informed some are doing in  anticipation of higher prices which would follow the end of price controls,  we shall inevitably slow down production and create needless unemployment.  On the other hand, there are the vast majority of American businessmen who  are not holding back goods, but who need certainty about the Government  pricing policy in order to fix their own long_range pricing policies.  
1946_199	1946_199	Businessmen are entitled therefore to a dear statement of the policy of the  Government on the subject. Tenants and housewives, farmers and  workers consumers in general have an equal right.  
1946_200	1946_200	We are all anxious to eliminate unnecessary controls just as rapidly as we  can do so. The steps that we have already taken in many directions toward  that end are a clear indication of our policy.  
1946_203	1946_203	I do not doubt that the Congress will be beset by many groups who will urge  that the legislation that I have proposed should either be eliminated or  modified to the point where it is nearly useless. The Congress has a clear  responsibility to meet this challenge with courage and determination. I  have every confidence that it will do so.  
1946_204	1946_204	I strongly urge that the Congress now resolve all doubts and as soon as  possible adopt legislation continuing rent and price control in effect for  a full year from June 30, 1946.  
1946_205	1946_205	(b) Food subsidies.  
1946_207	1946_207	In anticipation of this decline in food prices, it was our belief that food  subsidies could be removed gradually during the winter and spring months,  and eliminated almost completely by June 30 of this year. It was our  feeling that the food subsidies could be dropped without an increase to the  consumer in the present level of food prices or in the over_all cost of  living.  
1946_210	1946_210	If prices of food were allowed to increase by these amounts, I must make it  clear to the Congress that, in my opinion, it would become extremely  difficult for us to control the forces of inflation.  
1946_212	1946_212	But I believe our farmers are as deeply conscious as any group in the land  of the havoc which inflation can create. Certainly in the past eighteen  months there has been no group which has fought any harder in support of  the Government's price control program. I am confident that, if the facts  are placed before them and if they see clearly the evils between which we  are forced to choose, they will understand the reasons why subsidies must  be continued.  
1946_213	1946_213	The legislation continuing the use of food subsidies into the new fiscal  year should be tied down specifically to certain standards. A very proper  requirement, in my opinion, would be that subsidies be removed as soon as  it is indicated that the cost of living will decline below the present  levels.  
1946_214	1946_214	(c) Extension of War Powers Act.  
1946_223	1946_223	During the war, the Smaller War Plants Corporation assisted small concerns  to make a maximum contribution to victory. The work of the Smaller War  Plants Corporation is being carried on in peacetime by the Federal Loan  Agency and the Department of Commerce. The fundamental approach to the job  of encouraging small concerns must be based on:  
1946_224	1946_224	1. Arrangements for making private and public financial resources available  on reasonable terms.  
1946_226	1946_226	3. Elimination of trade practices and agreements which reduce competition  and discriminate against new or small enterprises.  
1946_231	1946_231	But we must do more than break up trusts and monopolies after they have  begun to strangle competition. We must take positive action to foster new,  expanding enterprises. By legislation and by administration we must take  specific steps to discourage the formation or the strengthening of  competition_restricting business. We must have an over_all antimonopoly  policy which can be applied by all agencies of the Government in exercising  the functions assigned to them a policy designed to encourage the  formation and growth of new and freely competitive enterprises.  
1946_235	1946_235	(e) Minimum wage.  
1946_241	1946_241	Today about 20 percent of our manufacturing wage earners or about 2  million_earn less than 65 cents an hour. Because wages in most industries  have risen during the war, this is about the same as the proportion_17  percent who were earning less than 40 cents an hour in 1941.  
1946_243	1946_243	Lifting the basic minimum wage is necessary, it is justified as a matter of  simple equity to workers, and it will prove not only feasible but also  directly beneficial to the Nation's employers.  
1946_244	1946_244	(f) Agricultural programs.  
1946_247	1946_247	Farm prices are expected to remain at least at their present levels in the  immediate future, and for at least the next 12 months they are expected to  yield a net farm income double the 1935_39 average and higher than in any  year prior to 1943.  
1946_249	1946_249	Agricultural production goals for 1946 call for somewhat greater acreage  than actually was planted in 1945. Agriculture is prepared to demonstrate  that it can make a peacetime contribution as great as its contribution  toward the winning of the war.  
1946_251	1946_251	For the period immediately ahead we shall still have the problem of  supplying enough food. If we are to do our part in aiding the war_stricken  and starving countries some of the food desires of our own people will not  be completely satisfied, at least until these nations have had an  opportunity to harvest another crop. During the next few months the need  for food in the world will be more serious than at any time during the war.  And, despite the large shipments we have already made, and despite what we  shall send, there remain great needs abroad.  
1946_252	1946_252	Beyond the relief feeding period, there will still be substantial foreign  outlets for our farm commodities. The chief dependence of the farmer,  however, as always, must be upon the buying power of our own people.  
1946_257	1946_257	For example, one of the best possible contributions toward building a  stronger, healthier Nation would be a permanent school_lunch program on a  scale adequate to assure every school child a good lunch at noon. The  Congress, of course, has recognized this need for a continuing school_lunch  program and legislation to that effect has been introduced and hearings  held. The plan contemplates the attainment of this objective with a minimum  of Federal expenditures. I hope that the legislation will be enacted in  time for a permanent program to start with the beginning of the school year  next fall.  
1946_258	1946_258	We have the technical knowledge and the productive capacity to provide  plenty of good food for every man, woman, and child in the United States.  It is time we made that possibility a reality.  
1946_259	1946_259	(g) Resource development.  
1946_265	1946_265	The Congress has shown itself alive to the practical requirements for a  beneficial use of our water resources by providing that preference in the  sale of power be given to farmers' cooperatives and public agencies. The  public power program thus authorized must continue to be made effective by  building the necessary generating and transmission facilities to furnish  the maximum of firm power needed at the wholesale markets, which are often  distant from the dam sites.  
1946_267	1946_267	(h) Public works.  
1946_272	1946_272	The Congress has already made provision for highway programs. It is now  considering legislation which would expand Federal grants and loans in  several other fields, including construction of airports, hospital and  health centers, housing, water pollution control facilities, and  educational plant facilities. I hope that early action will be taken to  authorize these Federal programs.  
1946_275	1946_275	Our long_run objective is to achieve a program of direct Federal and  Federally assisted public works which is planned in advance and  synchronized with business conditions. In this way it can make its greatest  contribution to general economic stability.  
1946_277	1946_277	Last September I stated in my message to the Congress that housing was high  on the list of matters calling for decisive action.  
1946_280	1946_280	Since VJ_day the wartime housing shortage has been growing steadily worse  and pressure on real estate values has increased. Returning veterans often  cannot find a satisfactory place for their families to live, and many who  buy have to pay exorbitant prices. Rapid demobilization inevitably means  further overcrowding.  
1946_283	1946_283	As a result of the housing shortage, it is inevitable that the present  dangers of inflation in home values will continue unless the Congress takes  action in the immediate future.  
1946_285	1946_285	Such measures are necessary stopgaps_but only stopgaps. This emergency  action, taken alone, is good but not enough. The housing shortage did not  start with the war or with demobilization; it began years before that and  has steadily accumulated. The speed with which the Congress establishes the  foundation for a permanent, long_range housing program will determine how  effectively we grasp the immense opportunity to achieve our goal of decent  housing and to make housing a major instrument of continuing prosperity and  full employment in the years ahead. It will determine whether we move  forward to a stable and healthy housing enterprise and toward providing a  decent home for every American family.  
